customer_id,age,account_age_years,country,income,risk_segment,avg_transaction_amount,preferred_device_risk,fraud_history
32,29,6.6,MA,62048.39,low,120.61,0.16250247525720862,0
33,75,0.0,ES,42846.76,low,11.34,0.09726841853547961,0
34,39,3.1,MA,56453.36,low,114.03,0.34353665162028124,0
35,78,1.8,IT,8000.0,high,126.15,0.1657373280312529,0
36,61,9.6,TN,32541.63,medium,47.83,0.12884890293847603,0
37,42,6.3,MA,27991.67,medium,64.06,0.13948771933943868,0
38,66,4.4,US,14895.31,high,28.9,0.28025259749621445,0
39,44,1.6,ES,10559.65,high,19.86,0.25731985785031625,0
40,76,12.1,DZ,37606.22,medium,76.8,0.14981452958571276,0
41,59,0.2,FR,38965.98,medium,118.78,0.203231303797542,0
42,45,0.6,ES,49499.61,low,63.69,0.2276704423852485,0
43,77,2.5,FR,22448.68,medium,43.0,0.12959193074943945,0
44,33,0.7,DE,27875.85,medium,10.38,0.04593772126100071,0
45,32,15.7,US,9263.1,high,3.3,0.25150374194312447,0
46,79,8.0,GB,53111.79,low,35.4,0.1351265836001725,0
47,79,1.5,DZ,31043.22,medium,3.04,0.24403483503839196,0
48,64,4.4,ES,40838.83,low,50.55,0.23210266422475434,0
49,79,20.2,FR,41368.58,low,28.95,0.20557923012555118,0
50,68,10.8,IT,51886.61,low,84.93,0.15738728512103314,0
51,61,4.6,DZ,17529.01,medium,21.89,0.1366071777484181,0
52,72,11.7,IT,40463.8,low,53.93,0.08615825949637762,0
53,69,22.6,MA,29624.87,medium,46.29,0.13852520456109113,0
54,74,6.8,MA,61585.16,low,0.28,0.2568815011550188,0
55,20,0.3,DZ,17484.54,medium,4.51,0.3397825742123994,0
56,54,2.6,IT,47571.4,low,20.58,0.32510993422423184,1
57,68,9.1,CA,35255.13,medium,128.34,0.214542301617488,0
58,24,1.3,DZ,34467.84,medium,9.54,0.3397294060681637,0
59,38,8.9,US,30810.31,medium,74.46,0.16931823721392197,0
60,26,0.6,US,50199.99,low,217.54,0.07089533174849294,0
61,56,0.2,FR,33957.78,medium,93.8,0.3920874419210276,0
62,35,2.4,ES,8000.0,high,16.7,0.253280828645677,0
63,21,0.2,GB,48292.55,low,143.4,0.046536924946007974,0
64,42,15.8,IT,45543.03,low,5.86,0.3559048578637362,0
65,77,8.7,ES,38807.07,medium,37.88,0.12565775148912162,0
66,31,8.1,US,13072.9,high,131.11,0.1474117742274867,0
67,67,5.0,FR,15403.27,medium,61.51,0.3021383139083205,0
68,75,1.2,IT,8000.0,high,32.03,0.3361707113656695,0
69,26,3.7,ES,36904.95,medium,20.79,0.09992609715587367,0
70,43,4.5,US,9756.77,high,28.21,0.3470990762026779,0
71,70,3.7,DE,8000.0,high,42.67,0.2874236796409441,1
72,19,1.5,US,49124.84,low,23.06,0.1200251188061359,0
73,37,3.6,MA,41522.69,low,208.36,0.17540937357164954,0
74,45,3.4,FR,25002.43,medium,162.25,0.3516135896573558,0
75,64,28.0,CA,27989.3,medium,122.72,0.043943839739170654,1
76,77,11.4,CA,8000.0,high,32.87,0.33807143758922187,0
77,24,3.1,MA,43751.17,low,70.52,0.28464071278365255,0
78,61,4.9,MA,19609.03,medium,139.88,0.25091407622706996,0
79,78,6.9,IT,34954.36,medium,114.0,0.21316956885710076,0
80,25,0.2,DE,8000.0,high,32.1,0.39701379824624783,1
81,64,11.3,DE,44663.52,low,7.15,0.41179236007049025,0
82,52,9.8,IT,18707.33,medium,4.72,0.13847702499823455,0
83,31,3.1,ES,9359.37,high,51.63,0.2612204787231667,0
84,34,2.5,IT,24905.98,medium,61.74,0.3874376497177832,0
85,53,1.6,GB,21054.07,medium,113.76,0.12149554189999898,0
86,67,3.2,GB,46114.01,low,20.76,0.2243139574311877,0
87,57,0.2,CA,23694.07,medium,11.0,0.30038754422824915,0
88,21,9.6,US,50439.26,low,28.59,0.0,0
89,19,0.2,IT,34952.14,medium,26.18,0.28285552286978893,0
90,79,2.0,TN,43415.52,low,8.53,0.09115679765896023,0
91,23,13.4,IT,29967.5,medium,66.94,0.21923313649556683,0
92,71,6.6,ES,49080.88,low,42.64,0.31443448508918187,0
93,59,1.7,FR,12695.64,high,76.62,0.0,0
94,21,1.5,CA,31704.37,medium,26.1,0.2785858887743896,0
95,71,0.0,CA,24053.46,medium,23.65,0.4038328984630831,0
96,46,5.9,CA,50949.43,low,38.39,0.14666990003341362,0
97,35,0.3,DZ,52485.52,low,125.93,0.2576690146784124,0
98,43,3.8,US,30006.32,medium,2.47,0.33352863306993885,0
99,61,16.4,MA,10627.33,high,98.03,0.0407054951790026,0
100,51,0.6,FR,36406.46,medium,27.63,0.2757369758533753,0
101,27,11.2,FR,8000.0,high,115.7,0.3023766232597781,0
102,79,23.8,DZ,54392.14,low,97.23,0.2638620219936767,0
103,53,0.3,TN,22902.45,medium,25.73,0.20866226922051218,0
104,31,10.7,TN,29541.45,medium,71.03,0.09995872181938736,0
105,48,3.6,US,19785.73,medium,10.43,0.33914233535362437,0
106,65,11.8,GB,16473.28,medium,135.96,0.2034503565231658,0
107,32,4.2,ES,41059.37,low,31.1,0.10961195873764046,0
108,25,5.4,MA,27620.75,medium,36.49,0.16819741695854312,1
109,31,3.9,GB,30637.24,medium,73.4,0.2368385491334677,0
110,40,10.0,MA,14941.63,high,103.17,0.043881504311578945,0
111,77,6.6,DE,42840.89,low,16.18,0.20179303525841177,0
112,74,3.7,CA,44366.85,low,64.97,0.15831227829420108,0
113,79,10.1,DZ,26866.07,medium,29.85,0.3336026481365989,0
114,57,1.4,MA,49018.83,low,27.6,0.012510940271227095,0
115,38,0.9,FR,28438.14,medium,70.28,0.2938757642502484,0
116,33,0.9,CA,41696.33,low,29.38,0.3417094825602515,0
117,62,2.0,CA,8000.0,high,25.49,0.016291136285213753,0
118,35,1.4,ES,35301.46,medium,108.43,0.028281751419292456,0
119,64,13.3,DZ,25927.78,medium,6.41,0.37859000465664794,0
120,70,0.6,FR,32332.84,medium,67.6,0.10956279513970672,0
121,41,6.0,GB,31660.24,medium,17.16,0.509482912048845,0
122,43,1.0,MA,31885.5,medium,0.94,0.019415996447983364,0
123,42,10.7,MA,39235.51,medium,10.95,0.21700474049871207,0
124,77,16.3,DE,21522.4,medium,55.99,0.19766062627472825,0
125,77,3.1,CA,38536.19,medium,74.09,0.1791804232435043,0
126,77,10.6,IT,48487.87,low,1.28,0.24629623607057827,0
127,62,0.0,FR,8847.88,high,2.23,0.2520646424729068,0
128,58,8.6,IT,18291.9,medium,139.7,0.1832341017370896,0
129,46,1.3,MA,18921.97,medium,4.57,0.09858260561727294,0
130,32,12.0,IT,13619.31,high,134.76,0.304776036424138,0
131,62,0.0,ES,22879.53,medium,15.54,0.26280526630828366,0
132,18,4.1,FR,45496.78,low,80.83,0.21145836906160745,0
133,42,7.1,MA,51713.8,low,22.24,0.25963674824173594,0
134,24,1.5,MA,31592.62,medium,117.43,0.276894145009113,0
135,26,1.1,FR,25136.46,medium,72.33,0.12382679565186801,0
136,41,0.4,GB,42043.86,low,30.83,0.2560680373481806,0
137,18,2.0,FR,8000.0,high,4.76,0.14469642744816574,0
138,61,4.1,TN,14172.32,high,79.16,0.28020333565868,0
139,25,0.6,IT,8000.0,high,57.57,0.1807600413576769,0
140,41,2.4,ES,14014.5,high,0.17,0.261171957368172,0
141,28,0.0,DE,18494.74,medium,0.57,0.15662047002904772,0
142,68,8.5,GB,52165.23,low,99.26,0.2663702435937673,0
143,34,0.7,US,8000.0,high,18.02,0.10212307708839916,0
144,25,1.7,DE,23749.46,medium,60.66,0.20361688798634625,0
145,52,0.1,FR,39293.5,medium,36.33,0.2980632515109934,0
146,52,2.8,FR,36160.96,medium,119.46,0.24672046572459252,0
147,50,9.2,FR,51926.07,low,149.31,0.21920287334492114,0
148,76,2.5,DZ,32415.77,medium,344.82,0.38035613396506396,0
149,22,1.0,FR,35614.17,medium,10.01,0.3023636868488922,0
150,59,7.0,ES,8000.0,high,119.25,0.28555399492531275,0
151,56,7.8,DE,15175.97,medium,18.56,0.2658027778916505,0
152,75,1.0,CA,8000.0,high,53.62,0.27826968722466644,0
153,58,7.4,FR,38589.12,medium,42.29,0.36571020105521646,0
154,45,14.7,GB,35230.36,medium,1.09,0.15823313122790053,0
155,24,0.9,DZ,34703.07,medium,161.98,0.3009403965275242,0
156,26,7.4,US,16778.5,medium,4.89,0.2356487888774776,0
157,25,6.2,IT,15405.75,medium,69.93,0.16168824628660067,0
158,29,3.2,TN,33141.7,medium,92.23,0.19002748969587208,0
159,51,0.3,MA,19959.21,medium,95.17,0.22191546815463434,0
160,50,0.4,FR,14693.93,high,8.74,0.11400599323305777,0
161,65,9.6,US,22374.16,medium,35.61,0.2864012775500447,0
162,72,23.1,MA,20088.87,medium,106.12,0.18971485759109613,0
163,40,5.6,FR,16999.16,medium,21.63,0.20849291622426738,0
164,79,3.0,US,11613.48,high,37.84,0.3357202549927807,0
165,41,5.2,TN,36730.35,medium,19.11,0.21297482052268027,0
166,54,4.5,DE,53340.74,low,37.37,0.35526684444211054,0
167,52,2.4,US,29414.94,medium,131.27,0.14751854911048562,0
168,61,0.3,DZ,33336.51,medium,36.43,0.09029301612053492,0
169,57,8.6,FR,38045.67,medium,48.7,0.17100068530551168,0
170,39,2.3,FR,35498.49,medium,31.05,0.0,1
171,44,8.5,IT,17296.32,medium,36.98,0.29057617524709434,0
172,52,1.5,CA,55797.69,low,0.92,0.09611014587125051,0
173,18,0.0,FR,18640.34,medium,20.02,0.13823045785537302,0
174,52,0.9,DZ,39721.33,medium,34.42,0.27162785616209273,0
175,54,3.2,FR,37952.87,medium,60.27,0.21191210979178912,0
176,64,14.4,MA,8000.0,high,35.88,0.15594545419198796,0
177,31,0.5,FR,24617.3,medium,24.73,0.0,0
178,20,9.6,DE,30849.43,medium,29.47,0.3300808029897194,0
179,18,3.7,DZ,31997.27,medium,16.65,0.27230800334764643,0
180,22,8.7,ES,34521.31,medium,155.01,0.4055721329698252,0
181,43,1.8,FR,41364.94,low,44.26,0.14036201640095933,0
182,72,9.2,MA,29887.27,medium,0.81,0.05455497356219924,0
183,31,7.4,DZ,35319.26,medium,1.18,0.2994755285264424,0
184,56,1.3,FR,29325.68,medium,216.63,0.1811940082599649,0
185,44,0.7,FR,14740.0,high,15.02,0.2628169859068956,0
186,26,10.1,GB,30486.02,medium,98.27,0.3619915287326556,0
187,32,16.5,CA,41236.35,low,3.6,0.23881530964641767,0
188,32,0.2,MA,46631.83,low,152.42,0.21672989005455331,0
189,43,6.6,FR,38059.73,medium,124.49,0.22300027863055902,0
190,59,12.0,GB,50015.25,low,50.79,0.03627518140353353,0
191,77,9.7,GB,36282.97,medium,0.54,0.3108038209483047,0
192,30,16.7,DZ,42958.2,low,17.89,0.31720861622491625,0
193,68,7.1,GB,44060.87,low,31.34,0.2530570024962524,0
194,49,2.9,FR,26649.74,medium,36.98,0.04845953650691687,0
195,56,1.9,TN,40890.05,low,21.2,0.18788511748629866,0
196,66,1.9,GB,15890.33,medium,2.01,0.3438525775392854,0
197,69,6.4,FR,35247.19,medium,53.51,0.1434246337026532,0
198,78,6.8,MA,38655.39,medium,44.56,0.318425305191366,0
199,49,1.1,FR,45766.43,low,19.96,0.2055096492656854,0
200,21,10.1,ES,42311.39,low,2.32,0.27125038395159606,0
201,47,6.3,FR,45961.71,low,313.22,0.1587858587175217,0
202,54,4.1,CA,28509.3,medium,39.47,0.20843808816456666,0
203,40,3.2,GB,24819.1,medium,84.64,0.2436715248168878,0
204,56,3.9,DE,25876.52,medium,36.12,0.09167660261058158,0
205,62,0.9,DE,33994.26,medium,2.65,0.22739131289790115,0
206,32,1.1,FR,8000.0,high,22.23,0.0,0
207,60,0.5,ES,49976.35,low,23.15,0.13984982131782275,0
208,46,0.8,DE,30658.1,medium,109.34,0.2543883014363779,0
209,53,3.0,TN,23774.98,medium,63.72,0.31202629205505616,0
210,30,3.8,FR,8000.0,high,19.33,0.24727521417992285,0
211,49,0.1,TN,29447.8,medium,206.04,0.060968322616903214,0
212,24,8.0,US,27022.85,medium,23.28,0.30328581288655815,0
213,76,1.7,FR,16544.3,medium,380.34,0.08608502684772659,0
214,68,12.1,IT,19904.3,medium,333.79,0.2614198551424351,0
215,39,17.1,DE,29600.45,medium,12.73,0.0894166255407142,0
216,45,1.0,CA,21176.45,medium,22.5,0.12267937956378429,0
217,19,3.1,GB,38578.17,medium,39.94,0.10436508640695177,0
218,59,0.0,CA,18768.25,medium,65.46,0.21389585892817198,0
219,62,4.6,MA,32319.13,medium,45.05,0.18044654863754345,0
220,79,4.7,FR,47700.68,low,209.29,0.2508909437630692,0
221,74,1.4,FR,29451.06,medium,77.24,0.19813651613268923,0
222,70,4.1,ES,35339.66,medium,14.3,0.04821265464129612,0
223,23,1.3,FR,34389.77,medium,6.66,0.22758124680979752,0
224,45,0.9,IT,30119.95,medium,69.96,0.023783434956713062,0
225,45,5.3,US,28994.89,medium,10.35,0.11161460069509971,0
226,61,2.0,DZ,21429.39,medium,92.98,0.16360866679209984,0
227,61,4.5,DE,32265.18,medium,22.35,0.15667965928103555,0
228,37,2.8,ES,25750.99,medium,23.75,0.035258733949397436,0
229,47,20.8,ES,53191.35,low,0.65,0.3371159553538192,0
230,79,0.8,DE,42167.15,low,72.44,0.36480027900566997,0
231,28,3.1,DE,8208.06,high,7.21,0.4250775104308949,0
232,75,5.7,DE,9042.63,high,88.94,0.3147651417489657,1
233,72,2.5,DE,28043.1,medium,40.62,0.16045534612097265,0
234,45,18.4,DE,24070.42,medium,92.03,0.1587320479051425,0
235,42,6.4,ES,27252.09,medium,52.61,0.1532106163826775,0
236,56,5.3,FR,39767.42,medium,5.16,0.39856376862257764,0
237,79,7.1,FR,34736.04,medium,87.06,0.18844585310348397,0
238,50,15.3,CA,34584.44,medium,4.34,0.32692329069202275,0
239,18,11.9,FR,51692.92,low,39.09,0.3191434977719439,0
240,74,6.4,IT,9166.63,high,11.35,0.21895478560808707,0
241,44,6.9,FR,31559.08,medium,83.74,0.05483591562704951,0
242,79,0.8,ES,21314.21,medium,145.55,0.19060813613490843,0
243,74,0.5,DE,51531.54,low,48.46,0.21469662762129524,0
244,69,4.2,TN,8000.0,high,44.94,0.3277921289902985,0
245,30,0.1,GB,8000.0,high,86.63,0.20194579121002917,0
246,58,3.3,GB,34569.54,medium,0.31,0.07913944363751942,0
247,20,1.2,IT,46894.45,low,149.89,0.29879099977317053,1
248,56,2.1,MA,41598.81,low,13.2,0.17724586775025125,0
249,23,7.5,ES,17985.29,medium,248.56,0.0,0
250,25,14.2,FR,52596.33,low,79.97,0.23249845745767456,0
251,44,0.4,TN,11527.97,high,89.3,0.250077129412021,0
252,26,3.8,FR,49612.26,low,64.06,0.11570618071342119,1
253,79,10.7,CA,13511.58,high,38.28,0.18079541993769116,0
254,54,0.4,FR,24722.64,medium,50.87,0.265771702597395,0
255,50,8.7,ES,39589.04,medium,2.85,0.23317848012022827,0
256,68,2.2,FR,8006.88,high,58.68,0.04373430498850009,0
257,59,1.9,DE,52035.35,low,59.03,0.3253550166497368,0
258,61,19.0,DZ,24630.84,medium,133.1,0.3706330619538651,0
259,41,1.1,FR,32059.14,medium,42.27,0.14898161139681576,0
260,32,5.9,FR,47433.01,low,4.82,0.009012842707741331,0
261,76,8.6,MA,18103.12,medium,21.93,0.27711128068029517,0
262,71,0.2,GB,45912.21,low,63.96,0.13269075608219066,0
263,49,5.5,MA,54608.0,low,16.41,0.253544879508525,0
264,49,15.1,FR,20166.32,medium,19.75,0.42021704665670384,0
265,41,0.7,DE,50540.82,low,103.04,0.04536924208111487,0
266,58,11.3,FR,8000.0,high,52.67,0.12033791201876759,0
267,69,4.5,FR,35844.01,medium,42.62,0.1805520406451551,0
268,66,4.8,CA,11571.02,high,23.0,0.3291678361358942,0
269,79,4.7,FR,44138.53,low,78.77,0.5555617129553276,0
270,66,1.8,DZ,42906.84,low,20.36,0.22470851870996278,0
271,75,13.7,ES,61160.7,low,80.15,0.03677772592754805,0
272,69,14.7,FR,51319.24,low,4.36,0.1654478625748777,0
273,29,4.9,DE,27513.43,medium,119.95,0.12251365137620157,0
274,79,7.6,TN,13773.79,high,41.54,0.27215854776857895,0
275,56,4.7,GB,38485.31,medium,34.63,0.2376884703298933,0
276,19,3.3,GB,29089.03,medium,56.65,0.0958186631995402,0
277,20,5.4,TN,53267.33,low,58.72,0.11665145757528689,0
278,66,4.0,FR,8000.0,high,8.5,0.16399427774256617,1
279,54,4.6,ES,62820.85,low,84.69,0.17606416899372504,0
280,66,7.7,FR,37979.86,medium,19.37,0.19578110838304225,0
281,73,3.3,MA,17804.82,medium,141.21,0.20488732151944167,1
282,34,0.2,MA,41009.84,low,102.18,0.3234850537734538,0
283,76,0.9,MA,49461.32,low,25.5,0.16037889879785597,0
284,66,2.9,DZ,31715.2,medium,98.93,0.1456433159753417,0
285,19,6.5,FR,8000.0,high,26.44,0.06612259791101177,0
286,19,4.5,ES,25592.29,medium,6.38,0.1776140767382475,0
287,45,5.3,MA,45590.93,low,196.03,0.2256196246193049,0
288,71,3.3,CA,37449.97,medium,63.44,0.027590363840682086,0
289,40,4.8,FR,27652.39,medium,36.54,0.16575714066054276,0
290,54,2.0,FR,49624.74,low,30.43,0.3160294129920044,0
291,49,3.2,DE,41089.59,low,23.56,0.26483060427012106,0
292,50,6.8,DE,42245.09,low,239.23,0.23734331727607927,0
293,18,10.3,FR,23840.48,medium,8.68,0.2621212298974505,0
294,36,2.8,CA,22389.24,medium,22.68,0.1426295730110375,0
295,79,0.2,CA,8000.0,high,39.87,0.12930802140940378,0
296,19,0.9,FR,26109.12,medium,39.01,0.32719087807381575,0
297,70,0.1,CA,44030.88,low,38.25,0.2828639379424876,0
298,61,5.3,IT,26938.6,medium,11.6,0.1253726978368896,0
299,43,2.0,US,36683.08,medium,9.39,0.012127604032201367,0
300,49,3.9,MA,46667.99,low,17.64,0.1274484451519683,0
301,23,3.4,DE,35592.49,medium,147.57,0.25435342274659134,0
302,49,0.4,FR,37057.72,medium,7.2,0.13417398572767703,0
303,72,2.6,FR,9632.66,high,84.99,0.23300678108005157,0
304,21,1.2,CA,25161.53,medium,85.02,0.3419770553898899,1
305,72,2.7,FR,55899.4,low,99.57,0.19069729222069257,0
306,28,1.1,TN,31556.96,medium,130.62,0.2233960152984879,0
307,73,9.2,GB,58451.07,low,18.31,0.26849038564995664,0
308,76,1.0,DZ,19153.27,medium,15.26,0.09179157416724643,0
309,34,16.2,FR,33509.21,medium,37.59,0.1226950774987949,0
310,55,2.7,FR,24259.82,medium,18.48,0.27261611599035473,0
311,41,9.4,FR,38879.77,medium,79.53,0.20369675205491083,0
312,22,5.0,MA,43425.13,low,60.63,0.21217586103094296,0
313,69,6.6,IT,39036.99,medium,124.76,0.20332858278573496,0
314,51,7.3,MA,45627.78,low,5.18,0.2978293968961958,0
315,23,3.5,FR,29802.41,medium,147.97,0.2435712640449675,0
316,39,3.9,MA,27142.07,medium,20.83,0.2448820091070812,0
317,28,3.6,DE,8000.0,high,40.48,0.3222198157555773,0
318,65,4.4,MA,39576.76,medium,34.64,0.3606573858074689,0
319,33,0.1,CA,32582.76,medium,85.7,0.42435917237680476,0
320,50,2.5,CA,28981.28,medium,32.72,0.14209863051847269,0
321,26,4.7,IT,27137.74,medium,172.47,0.44694074140086243,0
322,77,4.6,DE,29446.81,medium,139.7,0.0903227056544817,0
323,76,7.9,GB,26456.46,medium,123.42,0.3935247403043126,1
324,23,5.3,FR,22079.49,medium,4.44,0.13660401413086243,0
325,33,24.2,TN,33593.83,medium,115.56,0.19310602037952468,0
326,46,1.7,DE,37262.39,medium,91.3,0.20185759451629737,0
327,20,2.2,ES,18441.48,medium,6.56,0.11330292501719817,0
328,37,2.4,US,23988.97,medium,6.82,0.2086718666755961,0
329,77,3.1,TN,26930.67,medium,6.4,0.11846618901623579,0
330,76,9.0,FR,30072.2,medium,0.68,0.07650565713293003,0
331,53,1.3,TN,28077.22,medium,47.73,0.19612763669737662,0
332,36,7.5,ES,39895.82,medium,217.6,0.3589876890242934,0
333,43,2.6,IT,8000.0,high,34.65,0.17459802609830244,0
334,20,4.6,ES,8000.0,high,46.69,0.29410209153742156,0
335,36,5.0,CA,32903.54,medium,206.46,0.11543337072841814,0
336,37,2.3,MA,20959.71,medium,17.68,0.07165239293654665,0
337,49,3.6,FR,43263.63,low,117.31,0.245386015695536,0
338,24,2.7,FR,47547.01,low,47.43,0.3755612385101446,0
339,69,0.4,FR,33506.21,medium,50.57,0.2208954452133154,0
340,58,2.9,TN,13920.38,high,25.22,0.2826647446537073,0
341,50,0.5,FR,45818.9,low,49.48,0.3495124410196477,0
342,57,2.6,MA,32983.54,medium,4.56,0.19634696503178564,0
343,56,4.5,CA,8000.0,high,86.8,0.18479367183387502,0
344,35,4.3,CA,9022.21,high,20.1,0.24720883506306326,0
345,57,5.4,MA,52754.2,low,131.15,0.265001910611817,0
346,18,0.5,FR,50267.04,low,27.52,0.06010249113167904,0
347,28,5.3,FR,8000.0,high,9.25,0.22957256262707504,0
348,45,1.9,DE,9633.14,high,71.42,0.1999318590556805,1
349,74,2.5,CA,47112.83,low,10.79,0.1210481160889687,0
350,42,9.8,FR,29722.61,medium,84.07,0.1930189609822313,0
351,67,0.0,GB,40527.74,low,206.73,0.0834675168137275,1
352,40,4.4,TN,29070.71,medium,90.73,0.04890722701263159,0
353,48,4.6,FR,39817.39,medium,1.36,0.20668482496410284,0
354,47,2.5,GB,30087.5,medium,54.96,0.2902077023395576,0
355,59,1.4,GB,23435.88,medium,71.33,0.16527092618466419,0
356,52,1.3,CA,45881.16,low,104.74,0.10392707361923242,0
357,24,10.8,FR,33030.82,medium,3.46,0.11947012144120005,0
358,77,2.9,IT,39785.83,medium,39.25,0.25489445177665526,0
359,33,2.0,CA,32361.72,medium,45.99,0.36673852179425975,0
360,43,3.0,TN,22704.65,medium,11.12,0.2770456191427297,0
361,65,5.5,TN,54125.84,low,23.36,0.33007918992485574,1
362,74,0.8,FR,35324.52,medium,34.81,0.09523763022298314,0
363,69,3.0,FR,24674.27,medium,107.46,0.1926070083265196,0
364,77,4.4,ES,49174.94,low,159.05,0.3018690850424408,0
365,66,14.8,MA,10187.64,high,59.4,0.06008224187727676,0
366,19,1.5,MA,63544.25,low,30.15,0.1341626786373588,0
367,18,2.2,TN,27312.75,medium,17.58,0.29420191570415327,0
368,65,2.4,MA,10979.79,high,241.5,0.22584257707883493,0
369,79,4.7,US,58589.12,low,244.54,0.10348890677173168,0
370,29,2.2,DZ,23052.49,medium,155.4,0.03691785927930896,0
371,22,3.8,CA,33648.67,medium,92.41,0.3337315181365006,0
372,54,7.6,FR,40765.36,low,23.65,0.0,0
373,49,6.1,ES,47762.59,low,101.9,0.2632395178970305,0
374,76,3.0,GB,34496.62,medium,31.54,0.1466955564613303,0
375,72,10.0,IT,20290.27,medium,23.74,0.30470683163633505,0
376,26,4.1,IT,33284.89,medium,81.96,0.09578517001910969,0
377,58,3.9,GB,23710.27,medium,4.98,0.46147989353617697,0
378,52,0.2,FR,33735.18,medium,2.99,0.24022988556883818,1
379,36,21.6,FR,54422.24,low,35.65,0.2567069218785589,0
380,65,0.7,MA,41338.88,low,35.4,0.12269528132231573,0
381,33,1.3,CA,33099.7,medium,135.6,0.18666196658011736,0
382,20,0.3,US,41077.36,low,8.09,0.18925509272438198,0
383,37,5.1,ES,42151.21,low,7.89,0.3796068329251683,0
384,41,1.3,IT,13831.89,high,9.57,0.24005767714277865,0
385,71,1.0,DZ,30625.84,medium,1.81,0.2543829706403239,0
386,73,0.5,TN,68437.91,low,4.47,0.25326488764818644,0
387,50,0.5,MA,48192.31,low,64.71,0.2628610899084597,0
388,41,4.4,FR,22448.47,medium,33.89,0.061054649025721025,0
389,69,5.8,MA,20951.88,medium,86.53,0.40492681080367143,1
390,28,2.5,TN,20452.11,medium,294.36,0.11225114278050403,0
391,66,3.3,FR,42994.8,low,64.56,0.1961595664330913,0
392,25,5.8,DE,54114.61,low,3.11,0.3531482897521628,0
393,53,0.1,FR,38732.51,medium,6.63,0.3934625296737361,0
394,55,2.0,DZ,32357.44,medium,127.72,0.28059540797314747,0
395,57,18.1,GB,23337.67,medium,44.98,0.14953053102544536,0
396,37,4.3,FR,34940.6,medium,104.52,0.21277345529443,0
397,79,1.5,MA,17698.17,medium,116.53,0.21669672791078545,0
398,52,3.7,FR,8000.0,high,157.59,0.2202390457309134,0
399,65,2.1,ES,54552.39,low,179.54,0.07699469725875359,0
400,79,3.8,DE,14912.81,high,48.56,0.32601095323954876,0
401,42,0.7,US,25127.51,medium,25.02,0.21345889759377787,0
402,52,0.7,DE,39845.36,medium,196.0,0.1277781231050059,0
403,42,0.8,TN,51517.0,low,47.57,0.15016069122525588,0
404,46,14.1,IT,33856.96,medium,3.98,0.2269850035508713,0
405,35,6.6,ES,12094.34,high,61.76,0.059709335044159345,0
406,63,0.9,DZ,25479.8,medium,53.16,0.28784350761659566,0
407,35,1.0,FR,19822.72,medium,135.68,0.2234730302409742,0
408,19,6.6,DZ,29426.83,medium,63.54,0.35656896170260927,0
409,71,0.8,TN,48479.77,low,25.76,0.20775837211345707,0
410,52,1.3,US,8000.0,high,203.28,0.09147320602144507,0
411,33,16.5,FR,23829.15,medium,97.05,0.08021968101226645,0
412,78,1.5,CA,22739.26,medium,59.72,0.1609294386087572,1
413,58,5.4,CA,11148.58,high,20.8,0.17150952333784691,0
414,53,19.2,FR,38782.36,medium,28.06,0.14327382853424184,0
415,50,2.3,DE,8775.36,high,66.51,0.2128480532918435,0
