transaction_id,customer_id,bin,card_type,issuer_country,issuer_risk,amount,transaction_country,country_risk,device_risk,new_device,geo_anomaly,hour,velocity_24h,is_fraud,age,account_age_years,country,income,risk_segment,avg_transaction_amount,preferred_device_risk,fraud_history
38,1571,5200,Mastercard,DE,0.2,51.23,MA,0.4,0.19,0,0,22,4,0,74,1.0,TN,36156.45,medium,81.5,0.3755956723790878,0
39,722,5200,Mastercard,DE,0.2,109.97,CA,0.1,0.04,0,0,1,4,0,43,0.3,GB,62735.35,low,21.04,0.1282263295952395,0
40,1322,5200,Mastercard,DE,0.2,84.44,FR,0.1,0.2,0,0,4,1,0,19,6.8,DZ,41941.39,low,237.76,0.0765724515872198,0
41,1669,5100,Mastercard,FR,0.15,27.18,DZ,0.4,0.62,0,0,5,0,0,47,4.3,DE,46967.27,low,20.4,0.2779076427393654,0
42,1307,6011,Discover,US,0.4,67.5,GB,0.2,0.24,0,0,19,4,0,19,11.5,ES,26707.79,medium,85.06,0.0926662141920955,0
43,1529,6011,Discover,US,0.4,4.28,ES,0.15,0.21,0,0,12,1,0,57,0.8,US,8000.0,high,10.89,0.296361181086288,0
44,1222,3792,Amex,US,0.3,0.75,MA,0.4,0.21,0,0,13,2,0,77,0.1,DZ,16449.59,medium,8.04,0.1300374201284344,0
45,958,4539,Visa,FR,0.1,29.37,FR,0.1,0.43,0,0,2,4,0,45,1.3,FR,32797.32,medium,120.79,0.0,0
46,1056,4539,Visa,FR,0.1,214.44,GB,0.2,0.23,1,0,11,1,0,51,0.5,DZ,20470.63,medium,140.84,0.1681526766311643,0
47,648,4929,Visa,FR,0.1,4.28,US,0.3,0.29,0,0,8,1,0,33,4.3,FR,40473.31,low,13.07,0.3850047330050701,0
48,760,5100,Mastercard,FR,0.15,10.81,IT,0.2,0.36,0,0,11,2,0,49,0.2,GB,30906.64,medium,69.39,0.1555983022889062,0
49,871,5200,Mastercard,DE,0.2,0.35,FR,0.1,0.45,0,0,21,2,0,44,0.1,TN,33953.54,medium,0.88,0.2454488847583313,0
50,1365,6011,Discover,US,0.4,14.95,CA,0.1,0.14,0,0,8,0,0,19,2.4,DZ,26396.58,medium,17.04,0.1771415191673164,0
51,1682,3792,Amex,US,0.3,42.81,GB,0.2,0.11,0,0,18,2,0,36,5.4,GB,12922.72,high,35.22,0.2099095575183107,0
52,1358,6011,Discover,US,0.4,32.4,IT,0.2,0.14,0,0,14,2,0,22,0.9,FR,46816.72,low,66.12,0.2316125816359723,0
53,143,5100,Mastercard,FR,0.15,12.42,DE,0.1,0.35,0,0,9,1,0,34,0.7,US,8000.0,high,18.02,0.1021230770883991,0
54,1770,4929,Visa,FR,0.1,111.58,FR,0.1,0.37,0,0,12,3,0,69,2.5,US,53480.59,low,183.87,0.342357820299902,0
55,1434,6011,Discover,US,0.4,0.43,DE,0.1,0.28,1,0,10,0,0,50,9.6,DZ,49247.1,low,47.06,0.1551918376262627,0
56,949,4539,Visa,FR,0.1,55.09,FR,0.1,0.4,0,0,3,1,0,25,13.9,US,30578.88,medium,109.41,0.0927157706837364,1
57,44,3792,Amex,US,0.3,9.19,CA,0.1,0.37,1,0,5,2,0,33,0.7,DE,27875.85,medium,10.38,0.0459377212610007,0
58,32,4539,Visa,FR,0.1,101.78,FR,0.1,0.16,1,0,12,4,0,29,6.6,MA,62048.39,low,120.61,0.1625024752572086,0
59,1767,3792,Amex,US,0.3,54.2,FR,0.1,0.03,0,0,18,3,0,70,6.6,CA,48667.95,low,39.12,0.0371475033364188,0
60,28,5200,Mastercard,DE,0.2,74.29,FR,0.1,0.18,0,0,0,4,0,19,2.5,FR,41565.58,low,66.94,0.1071981341981056,0
61,1020,3792,Amex,US,0.3,1.78,FR,0.1,0.33,0,0,9,2,0,34,5.5,MA,15266.4,medium,5.5,0.225256749038184,0
62,423,5200,Mastercard,DE,0.2,26.09,MA,0.4,0.32,0,0,2,6,0,25,12.5,GB,31746.57,medium,88.36,0.2193585339811705,0
63,491,5100,Mastercard,FR,0.15,43.11,FR,0.1,0.0,0,1,12,3,0,48,4.8,TN,42967.95,low,69.1,0.1567814182950276,0
64,160,4539,Visa,FR,0.1,11.54,DE,0.1,0.0,0,0,18,0,0,50,0.4,FR,14693.93,high,8.74,0.1140059932330577,0
65,845,3792,Amex,US,0.3,2.47,CA,0.1,0.35,0,0,12,2,0,19,0.6,DE,41421.33,low,25.07,0.263015458646825,0
66,1231,3792,Amex,US,0.3,280.76,ES,0.15,0.36,0,0,0,0,0,72,14.8,GB,11337.37,high,94.76,0.0801473926158786,0
67,18,4929,Visa,FR,0.1,15.06,DZ,0.4,0.3,0,0,4,0,0,57,2.4,TN,61663.09,low,19.22,0.1684977051714987,0
68,1127,4539,Visa,FR,0.1,7.84,IT,0.2,0.39,0,0,13,1,0,65,2.9,TN,32486.0,medium,21.44,0.3566104045018661,0
69,1606,5100,Mastercard,FR,0.15,24.05,FR,0.1,0.28,0,0,8,1,0,68,14.4,DZ,15713.47,medium,20.34,0.0722950365403953,0
70,1655,5200,Mastercard,DE,0.2,2.48,FR,0.1,0.05,0,0,3,1,0,33,6.7,MA,18789.33,medium,54.21,0.0213396927302301,1
71,1675,5100,Mastercard,FR,0.15,62.42,GB,0.2,0.2,0,0,1,4,0,46,2.0,FR,41611.87,low,94.23,0.1802580822482359,0
72,672,4929,Visa,FR,0.1,1.16,GB,0.2,0.24,0,0,20,4,0,49,9.5,US,24648.92,medium,1.74,0.3617126841267978,0
73,232,5100,Mastercard,FR,0.15,15.72,MA,0.4,0.16,0,0,13,2,0,75,5.7,DE,9042.63,high,88.94,0.3147651417489657,1
74,1684,5200,Mastercard,DE,0.2,24.14,TN,0.35,0.16,0,0,2,5,0,51,10.6,US,48175.86,low,13.29,0.2210404713971319,0
75,1889,4539,Visa,FR,0.1,31.22,TN,0.35,0.24,0,0,3,1,0,76,1.6,FR,54098.21,low,19.59,0.2652153526179698,0
76,424,6011,Discover,US,0.4,3.05,FR,0.1,0.13,0,0,12,2,0,24,4.6,DZ,28484.42,medium,18.39,0.1792322733360091,0
77,904,4929,Visa,FR,0.1,25.11,CA,0.1,0.0,0,0,6,1,0,75,1.9,FR,8000.0,high,55.52,0.0987578001157392,0
78,755,3792,Amex,US,0.3,1.52,FR,0.1,0.27,0,0,14,2,0,56,3.0,ES,66437.16,low,14.36,0.3713925800426993,0
79,1571,3792,Amex,US,0.3,153.86,GB,0.2,0.44,0,0,19,3,0,74,1.0,TN,36156.45,medium,81.5,0.3755956723790878,0
80,837,4539,Visa,FR,0.1,1.32,TN,0.35,0.0,0,0,3,3,0,63,16.8,ES,14905.96,high,3.38,0.1732323522961212,1
81,894,6011,Discover,US,0.4,35.32,TN,0.35,0.27,0,0,15,3,0,79,3.6,TN,41753.75,low,61.04,0.2662633797546548,0
82,1891,5100,Mastercard,FR,0.15,10.16,FR,0.1,0.1,0,0,11,1,0,60,2.1,FR,25010.18,medium,25.96,0.0746693876800518,0
83,239,3792,Amex,US,0.3,14.51,CA,0.1,0.35,0,0,16,1,0,18,11.9,FR,51692.92,low,39.09,0.3191434977719439,0
84,1358,4929,Visa,FR,0.1,90.95,TN,0.35,0.31,1,0,16,1,0,22,0.9,FR,46816.72,low,66.12,0.2316125816359723,0
85,149,6011,Discover,US,0.4,13.78,TN,0.35,0.41,0,0,5,3,0,22,1.0,FR,35614.17,medium,10.01,0.3023636868488922,0
86,623,5200,Mastercard,DE,0.2,29.8,CA,0.1,0.12,0,0,18,2,0,56,3.6,CA,50521.95,low,40.86,0.3189876171681861,0
87,1432,5100,Mastercard,FR,0.15,13.13,CA,0.1,0.26,0,0,11,3,0,40,6.6,GB,33275.2,medium,12.25,0.2845221362771343,0
88,17,6011,Discover,US,0.4,18.94,DE,0.1,0.62,0,0,15,3,0,53,1.0,FR,42017.46,low,26.43,0.066633927732176,0
89,914,5200,Mastercard,DE,0.2,1.93,IT,0.2,0.28,0,0,2,2,0,38,0.7,TN,41794.39,low,66.62,0.1819058953688882,0
90,226,6011,Discover,US,0.4,6.35,TN,0.35,0.36,0,0,11,2,0,61,2.0,DZ,21429.39,medium,92.98,0.1636086667920998,0
91,652,6011,Discover,US,0.4,60.38,FR,0.1,0.46,0,0,21,2,0,38,1.9,ES,18617.22,medium,124.72,0.1349946122936559,0
92,1680,5100,Mastercard,FR,0.15,18.77,FR,0.1,0.12,0,0,19,1,0,27,4.2,US,17078.93,medium,13.55,0.1894364757302603,0
93,260,4929,Visa,FR,0.1,11.78,IT,0.2,0.0,0,0,1,4,0,32,5.9,FR,47433.01,low,4.82,0.0090128427077413,0
94,1753,5200,Mastercard,DE,0.2,0.98,FR,0.1,0.0,0,0,0,3,0,28,0.6,GB,23254.87,medium,32.49,0.0773952603910352,0
95,674,4929,Visa,FR,0.1,11.84,GB,0.2,0.08,0,0,18,2,0,73,0.1,FR,59328.45,low,25.81,0.347394970122641,0
96,1628,5200,Mastercard,DE,0.2,10.04,FR,0.1,0.19,1,0,4,2,0,58,5.2,FR,27488.64,medium,39.63,0.315032682257834,0
97,174,5100,Mastercard,FR,0.15,58.12,US,0.3,0.32,0,0,5,2,0,52,0.9,DZ,39721.33,medium,34.42,0.2716278561620927,0
98,1867,4929,Visa,FR,0.1,26.94,ES,0.15,0.39,0,0,14,0,0,57,4.0,DZ,40816.39,low,14.4,0.0063256509872958,0
99,205,5100,Mastercard,FR,0.15,0.61,GB,0.2,0.09,0,0,19,1,0,62,0.9,DE,33994.26,medium,2.65,0.2273913128979011,0
100,415,6011,Discover,US,0.4,82.52,US,0.3,0.57,0,0,20,0,0,50,2.3,DE,8775.36,high,66.51,0.2128480532918435,0
101,1532,6011,Discover,US,0.4,50.59,FR,0.1,0.45,0,0,15,4,0,42,1.2,CA,36815.46,medium,38.45,0.2388658522368681,0
102,1177,5100,Mastercard,FR,0.15,0.11,IT,0.2,0.17,0,0,1,1,0,26,6.0,IT,36631.19,medium,0.59,0.1725973769255222,0
103,1127,5200,Mastercard,DE,0.2,12.19,TN,0.35,0.61,0,0,21,3,0,65,2.9,TN,32486.0,medium,21.44,0.3566104045018661,0
104,1738,6011,Discover,US,0.4,24.63,CA,0.1,0.34,0,0,8,0,0,40,13.2,CA,41954.73,low,25.43,0.1646704864919776,0
105,792,5200,Mastercard,DE,0.2,0.3,DE,0.1,0.24,0,0,7,2,0,48,3.3,FR,41173.48,low,11.36,0.2451064881637557,0
106,1089,4929,Visa,FR,0.1,0.58,MA,0.4,0.11,0,0,3,1,0,35,22.3,CA,27615.96,medium,1.11,0.1844698548891665,0
107,1141,3792,Amex,US,0.3,0.62,GB,0.2,0.08,0,0,4,0,0,57,24.0,US,13400.71,high,3.68,0.3503956533621654,0
108,1689,6011,Discover,US,0.4,50.44,FR,0.1,0.39,0,0,8,2,0,45,1.7,FR,24258.37,medium,64.61,0.0614467752616152,0
109,1180,6011,Discover,US,0.4,26.08,TN,0.35,0.26,0,0,20,2,0,64,4.9,FR,17071.73,medium,14.09,0.0213113964852079,0
110,1700,4539,Visa,FR,0.1,34.46,GB,0.2,0.31,0,0,10,2,0,40,23.1,MA,16509.39,medium,46.32,0.2685964933413627,0
111,1106,5200,Mastercard,DE,0.2,7.14,CA,0.1,0.08,0,0,22,3,0,34,1.8,DZ,15139.57,medium,194.83,0.2322702253164667,1
112,518,5100,Mastercard,FR,0.15,1.24,MA,0.4,0.33,0,0,22,1,0,72,5.1,US,42962.31,low,41.07,0.1808937618530082,0
113,1858,4539,Visa,FR,0.1,79.8,US,0.3,0.26,0,0,23,1,0,46,7.4,MA,20862.98,medium,85.79,0.2704182645333483,0
114,1091,4929,Visa,FR,0.1,38.95,DE,0.1,0.09,1,0,6,3,0,32,0.7,GB,22940.08,medium,98.0,0.2428879109330933,0
115,1262,4539,Visa,FR,0.1,56.89,FR,0.1,0.04,0,0,1,3,0,66,0.3,IT,28361.51,medium,66.92,0.1142568788271394,0
116,1608,4539,Visa,FR,0.1,5.96,GB,0.2,0.26,0,1,23,0,0,41,3.2,MA,32137.56,medium,33.36,0.2912466569403312,0
117,1631,3792,Amex,US,0.3,15.99,TN,0.35,0.35,0,0,22,4,0,71,0.2,FR,52127.42,low,10.66,0.1520796625803784,0
118,1840,3792,Amex,US,0.3,126.67,FR,0.1,0.41,0,0,22,5,0,62,7.2,MA,46474.94,low,64.26,0.2926268764122587,0
119,979,4539,Visa,FR,0.1,549.6,US,0.3,0.28,0,0,20,1,0,35,4.1,US,25548.4,medium,249.79,0.1540396311161686,0
120,1010,3792,Amex,US,0.3,11.68,TN,0.35,0.13,0,0,1,0,0,50,1.3,DZ,14870.07,high,32.21,0.0453180334677326,0
121,1350,3792,Amex,US,0.3,3.26,FR,0.1,0.25,0,0,11,2,0,30,0.5,MA,8622.55,high,3.02,0.2311484670336292,0
122,590,4539,Visa,FR,0.1,0.16,GB,0.2,0.3,0,0,16,0,0,36,16.3,DE,50580.92,low,0.48,0.2273366852785388,0
123,67,5200,Mastercard,DE,0.2,88.49,IT,0.2,0.14,0,0,5,5,0,67,5.0,FR,15403.27,medium,61.51,0.3021383139083205,0
124,1200,3792,Amex,US,0.3,2.01,MA,0.4,0.18,0,0,0,0,0,73,10.5,TN,14545.4,high,15.66,0.2971781477757851,0
125,1857,4539,Visa,FR,0.1,82.96,US,0.3,0.25,0,1,22,3,0,43,6.5,GB,24112.17,medium,57.66,0.0863111236869602,0
126,684,5200,Mastercard,DE,0.2,42.64,IT,0.2,0.28,1,0,8,2,0,45,1.8,GB,20527.73,medium,73.6,0.2998936486593018,0
127,1502,6011,Discover,US,0.4,168.97,ES,0.15,0.06,0,0,9,3,0,19,5.0,IT,36271.48,medium,87.33,0.1800694666664427,0
128,1279,3792,Amex,US,0.3,9.23,CA,0.1,0.17,0,0,21,1,0,50,5.6,IT,51919.26,low,6.87,0.1625775374957466,0
129,63,4539,Visa,FR,0.1,67.75,DE,0.1,0.27,0,0,5,3,0,21,0.2,GB,48292.55,low,143.4,0.0465369249460079,0
130,814,3792,Amex,US,0.3,115.32,GB,0.2,0.32,0,0,0,2,0,59,3.4,ES,52466.65,low,49.31,0.1596553409285674,0
131,403,5200,Mastercard,DE,0.2,15.85,IT,0.2,0.27,0,0,15,1,0,42,0.8,TN,51517.0,low,47.57,0.1501606912252558,0
132,1782,4539,Visa,FR,0.1,51.13,MA,0.4,0.29,0,0,9,1,0,49,9.7,CA,58039.04,low,14.99,0.3611114982411957,0
133,192,5200,Mastercard,DE,0.2,26.08,IT,0.2,0.29,0,0,13,1,0,30,16.7,DZ,42958.2,low,17.89,0.3172086162249162,0
134,1353,6011,Discover,US,0.4,302.94,DZ,0.4,0.13,0,0,13,0,0,50,2.3,FR,43049.03,low,64.8,0.2547306642244358,0
135,71,5100,Mastercard,FR,0.15,2.36,TN,0.35,0.46,0,0,23,4,0,70,3.7,DE,8000.0,high,42.67,0.2874236796409441,1
136,878,4929,Visa,FR,0.1,29.8,ES,0.15,0.19,0,0,13,3,0,62,3.5,DZ,57581.53,low,93.05,0.1829119588533888,1
137,741,5100,Mastercard,FR,0.15,69.77,FR,0.1,0.14,1,0,12,3,0,78,5.4,FR,29412.41,medium,51.61,0.2192222680547305,0
138,946,3792,Amex,US,0.3,166.18,DE,0.1,0.03,0,0,1,3,0,41,3.1,CA,8000.0,high,65.06,0.0,0
139,1087,5200,Mastercard,DE,0.2,0.76,FR,0.1,0.17,0,0,19,1,0,67,6.7,MA,15567.16,medium,26.03,0.3838463930862475,0
140,1321,4539,Visa,FR,0.1,0.0,CA,0.1,0.15,0,0,22,5,0,74,5.1,FR,48295.66,low,99.91,0.1222142741791386,0
141,245,5200,Mastercard,DE,0.2,25.65,CA,0.1,0.19,1,0,1,2,0,30,0.1,GB,8000.0,high,86.63,0.2019457912100291,0
142,519,3792,Amex,US,0.3,46.5,US,0.3,0.3,0,0,17,2,0,43,3.6,DZ,34179.29,medium,24.27,0.2291325232874699,0
143,393,4539,Visa,FR,0.1,9.66,DE,0.1,0.43,1,0,4,4,0,53,0.1,FR,38732.51,medium,6.63,0.3934625296737361,0
144,772,5100,Mastercard,FR,0.15,32.33,ES,0.15,0.37,0,0,3,3,0,66,14.3,CA,35544.31,medium,77.72,0.1259770612819965,0
145,1625,5200,Mastercard,DE,0.2,0.01,FR,0.1,0.0,0,0,6,2,0,24,2.3,TN,32469.12,medium,2.98,0.2126424408124737,0
146,1201,4929,Visa,FR,0.1,13.3,DE,0.1,0.4,0,0,3,1,0,39,2.0,FR,17029.17,medium,16.44,0.241956934331535,0
147,1228,6011,Discover,US,0.4,6.11,DE,0.1,0.33,0,0,12,3,0,68,2.1,FR,24375.54,medium,22.5,0.1009737029738181,0
148,1670,6011,Discover,US,0.4,24.39,ES,0.15,0.52,0,1,10,1,0,55,0.4,TN,31544.32,medium,17.82,0.2164401746156311,0
149,1618,3792,Amex,US,0.3,4.39,FR,0.1,0.15,0,0,1,3,0,60,7.4,MA,8000.0,high,7.42,0.14283296727233,0
150,1557,3792,Amex,US,0.3,20.62,FR,0.1,0.1,0,0,8,1,0,57,1.8,FR,33635.21,medium,18.17,0.2250559506930092,0
151,911,5200,Mastercard,DE,0.2,36.01,TN,0.35,0.38,0,0,12,1,0,38,8.7,IT,47206.68,low,18.83,0.1701669159751911,0
152,1152,5100,Mastercard,FR,0.15,28.11,FR,0.1,0.36,0,0,23,1,0,78,11.7,FR,24389.11,medium,36.63,0.1221722152259717,0
153,1219,5100,Mastercard,FR,0.15,5.4,DZ,0.4,0.15,0,0,9,1,0,63,10.1,ES,8000.0,high,13.2,0.0494123512657698,0
154,1218,4929,Visa,FR,0.1,49.18,US,0.3,0.21,0,1,20,3,0,40,0.2,GB,39560.08,medium,33.51,0.1789714814872616,0
155,184,4929,Visa,FR,0.1,66.75,TN,0.35,0.32,0,0,15,0,0,56,1.3,FR,29325.68,medium,216.63,0.1811940082599649,0
156,247,5200,Mastercard,DE,0.2,332.93,FR,0.1,0.3,0,0,17,2,0,20,1.2,IT,46894.45,low,149.89,0.2987909997731705,1
157,1897,4539,Visa,FR,0.1,0.07,IT,0.2,0.24,0,0,4,1,0,26,0.8,FR,29560.48,medium,0.97,0.2247672064689777,0
158,1896,5100,Mastercard,FR,0.15,65.18,FR,0.1,0.26,0,0,17,5,0,70,3.9,CA,35276.19,medium,36.12,0.1488348976715929,0
159,324,4539,Visa,FR,0.1,0.43,US,0.3,0.13,0,0,13,4,0,23,5.3,FR,22079.49,medium,4.44,0.1366040141308624,0
160,160,4539,Visa,FR,0.1,0.5,FR,0.1,0.22,0,0,8,0,0,50,0.4,FR,14693.93,high,8.74,0.1140059932330577,0
161,706,5200,Mastercard,DE,0.2,59.04,FR,0.1,0.04,0,0,1,3,0,61,3.3,GB,25791.35,medium,130.79,0.2100241964811977,0
162,622,4929,Visa,FR,0.1,47.79,ES,0.15,0.25,0,0,10,3,0,78,1.4,GB,35675.21,medium,15.24,0.4526264180124968,0
163,925,4539,Visa,FR,0.1,151.5,IT,0.2,0.04,0,0,22,1,0,58,3.4,IT,18686.91,medium,36.92,0.1575378441283218,0
164,66,5200,Mastercard,DE,0.2,29.6,CA,0.1,0.08,0,0,17,0,0,31,8.1,US,13072.9,high,131.11,0.1474117742274867,0
165,930,4929,Visa,FR,0.1,0.7,IT,0.2,0.73,0,0,7,2,0,18,6.7,FR,19173.19,medium,4.38,0.2267663863211209,0
166,254,4539,Visa,FR,0.1,22.15,US,0.3,0.0,1,0,6,5,0,54,0.4,FR,24722.64,medium,50.87,0.265771702597395,0
167,283,4539,Visa,FR,0.1,10.48,TN,0.35,0.4,0,0,0,1,0,76,0.9,MA,49461.32,low,25.5,0.1603788987978559,0
168,1084,4929,Visa,FR,0.1,1.64,GB,0.2,0.29,0,0,22,2,0,77,17.2,FR,43825.55,low,1.15,0.1410437796040033,0
169,118,6011,Discover,US,0.4,63.65,FR,0.1,0.3,0,0,5,2,0,35,1.4,ES,35301.46,medium,108.43,0.0282817514192924,0
170,423,4929,Visa,FR,0.1,133.74,FR,0.1,0.09,0,0,3,1,0,25,12.5,GB,31746.57,medium,88.36,0.2193585339811705,0
171,556,3792,Amex,US,0.3,122.55,DE,0.1,0.36,0,0,16,2,0,66,6.4,DZ,26740.74,medium,88.73,0.1103225886195783,0
172,1746,3792,Amex,US,0.3,86.05,TN,0.35,0.0,0,0,11,1,0,77,11.4,IT,30791.63,medium,99.65,0.2517440657726286,0
173,36,5200,Mastercard,DE,0.2,85.75,FR,0.1,0.18,0,0,16,1,0,61,9.6,TN,32541.63,medium,47.83,0.128848902938476,0
174,531,5200,Mastercard,DE,0.2,12.51,US,0.3,0.25,1,0,8,1,0,37,9.5,FR,15051.11,medium,57.47,0.1970868951515006,0
175,91,5100,Mastercard,FR,0.15,11.82,DE,0.1,0.5,0,0,4,0,0,23,13.4,IT,29967.5,medium,66.94,0.2192331364955668,0
176,1325,3792,Amex,US,0.3,109.61,GB,0.2,0.35,1,0,1,3,0,25,23.7,FR,46705.41,low,78.92,0.1260312435988358,0
177,1748,4929,Visa,FR,0.1,49.5,GB,0.2,0.19,0,0,9,1,0,19,0.7,GB,8000.0,high,176.29,0.1588516954757037,0
178,1941,3792,Amex,US,0.3,0.15,US,0.3,0.21,0,0,4,0,0,34,0.1,GB,8000.0,high,52.54,0.1969149236174727,0
179,1943,6011,Discover,US,0.4,155.32,CA,0.1,0.34,0,0,18,0,0,54,0.7,IT,23253.28,medium,63.92,0.1840785695160651,0
180,1758,5200,Mastercard,DE,0.2,153.33,CA,0.1,0.07,0,0,8,2,0,72,3.7,MA,27680.79,medium,157.21,0.0707624545894807,1
181,1241,6011,Discover,US,0.4,25.94,GB,0.2,0.42,0,0,10,2,0,79,1.6,DE,27147.63,medium,44.06,0.1810653741826744,0
182,1759,5200,Mastercard,DE,0.2,68.94,CA,0.1,0.24,0,0,21,6,0,29,1.2,IT,41865.45,low,53.29,0.33569096281854,0
