transaction_id,customer_id,bin,card_type,issuer_country,issuer_risk,amount,transaction_country,country_risk,device_risk,new_device,geo_anomaly,hour,velocity_24h,is_fraud
29,1837,3792,Amex,US,0.3,110.6,CA,0.1,0.27,0,0,4,3,0
30,91,4539,Visa,FR,0.1,23.44,FR,0.1,0.22,0,0,6,3,0
31,1960,4929,Visa,FR,0.1,65.09,ES,0.15,0.18,0,0,5,1,0
32,1906,3792,Amex,US,0.3,1.23,MA,0.4,0.46,0,0,23,2,0
33,1942,6011,Discover,US,0.4,2.49,FR,0.1,0.19,0,1,20,0,0
34,1438,5200,Mastercard,DE,0.2,22.81,IT,0.2,0.33,0,0,10,4,0
35,702,3792,Amex,US,0.3,82.92,CA,0.1,0.09,0,0,9,2,0
36,73,5100,Mastercard,FR,0.15,91.26,DE,0.1,0.06,0,0,8,0,0
37,685,5100,Mastercard,FR,0.15,1.32,MA,0.4,0.28,1,0,20,2,0
38,1571,5200,Mastercard,DE,0.2,51.23,MA,0.4,0.19,0,0,22,4,0
39,722,5200,Mastercard,DE,0.2,109.97,CA,0.1,0.04,0,0,1,4,0
40,1322,5200,Mastercard,DE,0.2,84.44,FR,0.1,0.2,0,0,4,1,0
41,1669,5100,Mastercard,FR,0.15,27.18,DZ,0.4,0.62,0,0,5,0,0
42,1307,6011,Discover,US,0.4,67.5,GB,0.2,0.24,0,0,19,4,0
43,1529,6011,Discover,US,0.4,4.28,ES,0.15,0.21,0,0,12,1,0
44,1222,3792,Amex,US,0.3,0.75,MA,0.4,0.21,0,0,13,2,0
45,958,4539,Visa,FR,0.1,29.37,FR,0.1,0.43,0,0,2,4,0
46,1056,4539,Visa,FR,0.1,214.44,GB,0.2,0.23,1,0,11,1,0
47,648,4929,Visa,FR,0.1,4.28,US,0.3,0.29,0,0,8,1,0
48,760,5100,Mastercard,FR,0.15,10.81,IT,0.2,0.36,0,0,11,2,0
49,871,5200,Mastercard,DE,0.2,0.35,FR,0.1,0.45,0,0,21,2,0
50,1365,6011,Discover,US,0.4,14.95,CA,0.1,0.14,0,0,8,0,0
51,1682,3792,Amex,US,0.3,42.81,GB,0.2,0.11,0,0,18,2,0
52,1358,6011,Discover,US,0.4,32.4,IT,0.2,0.14,0,0,14,2,0
53,143,5100,Mastercard,FR,0.15,12.42,DE,0.1,0.35,0,0,9,1,0
54,1770,4929,Visa,FR,0.1,111.58,FR,0.1,0.37,0,0,12,3,0
55,1434,6011,Discover,US,0.4,0.43,DE,0.1,0.28,1,0,10,0,0
56,949,4539,Visa,FR,0.1,55.09,FR,0.1,0.4,0,0,3,1,0
57,44,3792,Amex,US,0.3,9.19,CA,0.1,0.37,1,0,5,2,0
58,32,4539,Visa,FR,0.1,101.78,FR,0.1,0.16,1,0,12,4,0
59,1767,3792,Amex,US,0.3,54.2,FR,0.1,0.03,0,0,18,3,0
60,28,5200,Mastercard,DE,0.2,74.29,FR,0.1,0.18,0,0,0,4,0
61,1020,3792,Amex,US,0.3,1.78,FR,0.1,0.33,0,0,9,2,0
62,423,5200,Mastercard,DE,0.2,26.09,MA,0.4,0.32,0,0,2,6,0
63,491,5100,Mastercard,FR,0.15,43.11,FR,0.1,0.0,0,1,12,3,0
64,160,4539,Visa,FR,0.1,11.54,DE,0.1,0.0,0,0,18,0,0
65,845,3792,Amex,US,0.3,2.47,CA,0.1,0.35,0,0,12,2,0
66,1231,3792,Amex,US,0.3,280.76,ES,0.15,0.36,0,0,0,0,0
67,18,4929,Visa,FR,0.1,15.06,DZ,0.4,0.3,0,0,4,0,0
68,1127,4539,Visa,FR,0.1,7.84,IT,0.2,0.39,0,0,13,1,0
69,1606,5100,Mastercard,FR,0.15,24.05,FR,0.1,0.28,0,0,8,1,0
70,1655,5200,Mastercard,DE,0.2,2.48,FR,0.1,0.05,0,0,3,1,0
71,1675,5100,Mastercard,FR,0.15,62.42,GB,0.2,0.2,0,0,1,4,0
72,672,4929,Visa,FR,0.1,1.16,GB,0.2,0.24,0,0,20,4,0
73,232,5100,Mastercard,FR,0.15,15.72,MA,0.4,0.16,0,0,13,2,0
74,1684,5200,Mastercard,DE,0.2,24.14,TN,0.35,0.16,0,0,2,5,0
75,1889,4539,Visa,FR,0.1,31.22,TN,0.35,0.24,0,0,3,1,0
76,424,6011,Discover,US,0.4,3.05,FR,0.1,0.13,0,0,12,2,0
77,904,4929,Visa,FR,0.1,25.11,CA,0.1,0.0,0,0,6,1,0
78,755,3792,Amex,US,0.3,1.52,FR,0.1,0.27,0,0,14,2,0
79,1571,3792,Amex,US,0.3,153.86,GB,0.2,0.44,0,0,19,3,0
80,837,4539,Visa,FR,0.1,1.32,TN,0.35,0.0,0,0,3,3,0
81,894,6011,Discover,US,0.4,35.32,TN,0.35,0.27,0,0,15,3,0
82,1891,5100,Mastercard,FR,0.15,10.16,FR,0.1,0.1,0,0,11,1,0
83,239,3792,Amex,US,0.3,14.51,CA,0.1,0.35,0,0,16,1,0
84,1358,4929,Visa,FR,0.1,90.95,TN,0.35,0.31,1,0,16,1,0
85,149,6011,Discover,US,0.4,13.78,TN,0.35,0.41,0,0,5,3,0
86,623,5200,Mastercard,DE,0.2,29.8,CA,0.1,0.12,0,0,18,2,0
87,1432,5100,Mastercard,FR,0.15,13.13,CA,0.1,0.26,0,0,11,3,0
88,17,6011,Discover,US,0.4,18.94,DE,0.1,0.62,0,0,15,3,0
89,914,5200,Mastercard,DE,0.2,1.93,IT,0.2,0.28,0,0,2,2,0
90,226,6011,Discover,US,0.4,6.35,TN,0.35,0.36,0,0,11,2,0
91,652,6011,Discover,US,0.4,60.38,FR,0.1,0.46,0,0,21,2,0
92,1680,5100,Mastercard,FR,0.15,18.77,FR,0.1,0.12,0,0,19,1,0
93,260,4929,Visa,FR,0.1,11.78,IT,0.2,0.0,0,0,1,4,0
94,1753,5200,Mastercard,DE,0.2,0.98,FR,0.1,0.0,0,0,0,3,0
95,674,4929,Visa,FR,0.1,11.84,GB,0.2,0.08,0,0,18,2,0
96,1628,5200,Mastercard,DE,0.2,10.04,FR,0.1,0.19,1,0,4,2,0
97,174,5100,Mastercard,FR,0.15,58.12,US,0.3,0.32,0,0,5,2,0
98,1867,4929,Visa,FR,0.1,26.94,ES,0.15,0.39,0,0,14,0,0
99,205,5100,Mastercard,FR,0.15,0.61,GB,0.2,0.09,0,0,19,1,0
100,415,6011,Discover,US,0.4,82.52,US,0.3,0.57,0,0,20,0,0
101,1532,6011,Discover,US,0.4,50.59,FR,0.1,0.45,0,0,15,4,0
102,1177,5100,Mastercard,FR,0.15,0.11,IT,0.2,0.17,0,0,1,1,0
103,1127,5200,Mastercard,DE,0.2,12.19,TN,0.35,0.61,0,0,21,3,0
104,1738,6011,Discover,US,0.4,24.63,CA,0.1,0.34,0,0,8,0,0
105,792,5200,Mastercard,DE,0.2,0.3,DE,0.1,0.24,0,0,7,2,0
106,1089,4929,Visa,FR,0.1,0.58,MA,0.4,0.11,0,0,3,1,0
107,1141,3792,Amex,US,0.3,0.62,GB,0.2,0.08,0,0,4,0,0
108,1689,6011,Discover,US,0.4,50.44,FR,0.1,0.39,0,0,8,2,0
109,1180,6011,Discover,US,0.4,26.08,TN,0.35,0.26,0,0,20,2,0
110,1700,4539,Visa,FR,0.1,34.46,GB,0.2,0.31,0,0,10,2,0
111,1106,5200,Mastercard,DE,0.2,7.14,CA,0.1,0.08,0,0,22,3,0
112,518,5100,Mastercard,FR,0.15,1.24,MA,0.4,0.33,0,0,22,1,0
113,1858,4539,Visa,FR,0.1,79.8,US,0.3,0.26,0,0,23,1,0
114,1091,4929,Visa,FR,0.1,38.95,DE,0.1,0.09,1,0,6,3,0
115,1262,4539,Visa,FR,0.1,56.89,FR,0.1,0.04,0,0,1,3,0
116,1608,4539,Visa,FR,0.1,5.96,GB,0.2,0.26,0,1,23,0,0
117,1631,3792,Amex,US,0.3,15.99,TN,0.35,0.35,0,0,22,4,0
118,1840,3792,Amex,US,0.3,126.67,FR,0.1,0.41,0,0,22,5,0
119,979,4539,Visa,FR,0.1,549.6,US,0.3,0.28,0,0,20,1,0
120,1010,3792,Amex,US,0.3,11.68,TN,0.35,0.13,0,0,1,0,0
121,1350,3792,Amex,US,0.3,3.26,FR,0.1,0.25,0,0,11,2,0
122,590,4539,Visa,FR,0.1,0.16,GB,0.2,0.3,0,0,16,0,0
123,67,5200,Mastercard,DE,0.2,88.49,IT,0.2,0.14,0,0,5,5,0
124,1200,3792,Amex,US,0.3,2.01,MA,0.4,0.18,0,0,0,0,0
125,1857,4539,Visa,FR,0.1,82.96,US,0.3,0.25,0,1,22,3,0
126,684,5200,Mastercard,DE,0.2,42.64,IT,0.2,0.28,1,0,8,2,0
127,1502,6011,Discover,US,0.4,168.97,ES,0.15,0.06,0,0,9,3,0
128,1279,3792,Amex,US,0.3,9.23,CA,0.1,0.17,0,0,21,1,0
129,63,4539,Visa,FR,0.1,67.75,DE,0.1,0.27,0,0,5,3,0
130,814,3792,Amex,US,0.3,115.32,GB,0.2,0.32,0,0,0,2,0
131,403,5200,Mastercard,DE,0.2,15.85,IT,0.2,0.27,0,0,15,1,0
132,1782,4539,Visa,FR,0.1,51.13,MA,0.4,0.29,0,0,9,1,0
133,192,5200,Mastercard,DE,0.2,26.08,IT,0.2,0.29,0,0,13,1,0
134,1353,6011,Discover,US,0.4,302.94,DZ,0.4,0.13,0,0,13,0,0
135,71,5100,Mastercard,FR,0.15,2.36,TN,0.35,0.46,0,0,23,4,0
136,878,4929,Visa,FR,0.1,29.8,ES,0.15,0.19,0,0,13,3,0
137,741,5100,Mastercard,FR,0.15,69.77,FR,0.1,0.14,1,0,12,3,0
138,946,3792,Amex,US,0.3,166.18,DE,0.1,0.03,0,0,1,3,0
139,1087,5200,Mastercard,DE,0.2,0.76,FR,0.1,0.17,0,0,19,1,0
140,1321,4539,Visa,FR,0.1,0.0,CA,0.1,0.15,0,0,22,5,0
141,245,5200,Mastercard,DE,0.2,25.65,CA,0.1,0.19,1,0,1,2,0
142,519,3792,Amex,US,0.3,46.5,US,0.3,0.3,0,0,17,2,0
143,393,4539,Visa,FR,0.1,9.66,DE,0.1,0.43,1,0,4,4,0
144,772,5100,Mastercard,FR,0.15,32.33,ES,0.15,0.37,0,0,3,3,0
145,1625,5200,Mastercard,DE,0.2,0.01,FR,0.1,0.0,0,0,6,2,0
146,1201,4929,Visa,FR,0.1,13.3,DE,0.1,0.4,0,0,3,1,0
147,1228,6011,Discover,US,0.4,6.11,DE,0.1,0.33,0,0,12,3,0
148,1670,6011,Discover,US,0.4,24.39,ES,0.15,0.52,0,1,10,1,0
149,1618,3792,Amex,US,0.3,4.39,FR,0.1,0.15,0,0,1,3,0
150,1557,3792,Amex,US,0.3,20.62,FR,0.1,0.1,0,0,8,1,0
151,911,5200,Mastercard,DE,0.2,36.01,TN,0.35,0.38,0,0,12,1,0
152,1152,5100,Mastercard,FR,0.15,28.11,FR,0.1,0.36,0,0,23,1,0
153,1219,5100,Mastercard,FR,0.15,5.4,DZ,0.4,0.15,0,0,9,1,0
154,1218,4929,Visa,FR,0.1,49.18,US,0.3,0.21,0,1,20,3,0
155,184,4929,Visa,FR,0.1,66.75,TN,0.35,0.32,0,0,15,0,0
156,247,5200,Mastercard,DE,0.2,332.93,FR,0.1,0.3,0,0,17,2,0
157,1897,4539,Visa,FR,0.1,0.07,IT,0.2,0.24,0,0,4,1,0
158,1896,5100,Mastercard,FR,0.15,65.18,FR,0.1,0.26,0,0,17,5,0
159,324,4539,Visa,FR,0.1,0.43,US,0.3,0.13,0,0,13,4,0
160,160,4539,Visa,FR,0.1,0.5,FR,0.1,0.22,0,0,8,0,0
161,706,5200,Mastercard,DE,0.2,59.04,FR,0.1,0.04,0,0,1,3,0
162,622,4929,Visa,FR,0.1,47.79,ES,0.15,0.25,0,0,10,3,0
163,925,4539,Visa,FR,0.1,151.5,IT,0.2,0.04,0,0,22,1,0
164,66,5200,Mastercard,DE,0.2,29.6,CA,0.1,0.08,0,0,17,0,0
165,930,4929,Visa,FR,0.1,0.7,IT,0.2,0.73,0,0,7,2,0
166,254,4539,Visa,FR,0.1,22.15,US,0.3,0.0,1,0,6,5,0
167,283,4539,Visa,FR,0.1,10.48,TN,0.35,0.4,0,0,0,1,0
168,1084,4929,Visa,FR,0.1,1.64,GB,0.2,0.29,0,0,22,2,0
169,118,6011,Discover,US,0.4,63.65,FR,0.1,0.3,0,0,5,2,0
170,423,4929,Visa,FR,0.1,133.74,FR,0.1,0.09,0,0,3,1,0
171,556,3792,Amex,US,0.3,122.55,DE,0.1,0.36,0,0,16,2,0
172,1746,3792,Amex,US,0.3,86.05,TN,0.35,0.0,0,0,11,1,0
173,36,5200,Mastercard,DE,0.2,85.75,FR,0.1,0.18,0,0,16,1,0
174,531,5200,Mastercard,DE,0.2,12.51,US,0.3,0.25,1,0,8,1,0
175,91,5100,Mastercard,FR,0.15,11.82,DE,0.1,0.5,0,0,4,0,0
176,1325,3792,Amex,US,0.3,109.61,GB,0.2,0.35,1,0,1,3,0
177,1748,4929,Visa,FR,0.1,49.5,GB,0.2,0.19,0,0,9,1,0
178,1941,3792,Amex,US,0.3,0.15,US,0.3,0.21,0,0,4,0,0
179,1943,6011,Discover,US,0.4,155.32,CA,0.1,0.34,0,0,18,0,0
180,1758,5200,Mastercard,DE,0.2,153.33,CA,0.1,0.07,0,0,8,2,0
181,1241,6011,Discover,US,0.4,25.94,GB,0.2,0.42,0,0,10,2,0
182,1759,5200,Mastercard,DE,0.2,68.94,CA,0.1,0.24,0,0,21,6,0
183,1947,6011,Discover,US,0.4,8.99,ES,0.15,0.12,0,0,19,1,0
184,98,5200,Mastercard,DE,0.2,7.59,MA,0.4,0.04,0,0,19,1,0
185,1480,4929,Visa,FR,0.1,2.54,DE,0.1,0.0,0,0,16,2,0
186,531,6011,Discover,US,0.4,58.87,FR,0.1,0.51,0,0,14,0,0
187,1833,4539,Visa,FR,0.1,108.72,IT,0.2,0.0,1,0,3,1,0
188,538,5200,Mastercard,DE,0.2,50.35,MA,0.4,0.32,0,0,1,1,0
189,1052,3792,Amex,US,0.3,69.9,DZ,0.4,0.32,0,0,17,0,0
190,1600,4539,Visa,FR,0.1,427.26,CA,0.1,0.18,1,0,17,1,0
191,1348,3792,Amex,US,0.3,196.17,DE,0.1,0.23,0,0,10,2,0
192,1247,5200,Mastercard,DE,0.2,8.26,FR,0.1,0.19,0,0,13,1,0
193,80,4929,Visa,FR,0.1,26.49,DZ,0.4,0.28,0,0,12,2,0
194,563,4539,Visa,FR,0.1,89.32,FR,0.1,0.19,1,0,1,4,0
195,1482,4539,Visa,FR,0.1,23.12,FR,0.1,0.21,0,0,16,2,0
196,614,5200,Mastercard,DE,0.2,22.21,FR,0.1,0.24,0,0,18,0,0
197,176,6011,Discover,US,0.4,22.48,CA,0.1,0.34,0,0,15,2,0
198,522,5200,Mastercard,DE,0.2,4.42,DE,0.1,0.34,0,0,14,2,0
199,1773,5200,Mastercard,DE,0.2,0.03,FR,0.1,0.23,0,0,18,1,0
200,1481,5100,Mastercard,FR,0.15,11.86,MA,0.4,0.21,0,0,10,2,0
201,423,4929,Visa,FR,0.1,83.78,IT,0.2,0.33,0,1,1,5,0
202,1124,6011,Discover,US,0.4,3.35,US,0.3,0.12,0,0,4,3,0
203,1914,4929,Visa,FR,0.1,18.56,DZ,0.4,0.08,0,0,15,2,0
204,1764,5200,Mastercard,DE,0.2,30.72,US,0.3,0.05,0,0,3,1,0
205,1427,5100,Mastercard,FR,0.15,42.6,MA,0.4,0.29,0,0,18,4,0
206,576,5200,Mastercard,DE,0.2,6.63,IT,0.2,0.41,0,0,20,2,0
207,1404,5200,Mastercard,DE,0.2,13.96,ES,0.15,0.26,0,1,2,0,0
208,531,4929,Visa,FR,0.1,51.32,DZ,0.4,0.29,0,0,7,1,0
209,332,5100,Mastercard,FR,0.15,291.67,GB,0.2,0.17,0,0,1,2,0
210,1342,4929,Visa,FR,0.1,0.72,FR,0.1,0.29,0,0,13,3,0
211,653,5200,Mastercard,DE,0.2,33.58,TN,0.35,0.27,0,0,10,0,0
212,1561,3792,Amex,US,0.3,6.09,MA,0.4,0.32,0,0,4,2,0
213,740,4539,Visa,FR,0.1,21.42,FR,0.1,0.0,0,0,11,5,0
214,1113,6011,Discover,US,0.4,5.21,US,0.3,0.31,0,0,17,5,0
215,1628,5200,Mastercard,DE,0.2,48.66,DZ,0.4,0.34,0,1,8,5,0
216,511,6011,Discover,US,0.4,0.94,TN,0.35,0.34,0,0,16,1,0
217,42,5100,Mastercard,FR,0.15,14.03,CA,0.1,0.23,0,0,20,1,0
218,885,3792,Amex,US,0.3,63.84,TN,0.35,0.51,0,0,15,2,0
219,1831,6011,Discover,US,0.4,164.75,IT,0.2,0.39,0,0,19,1,0
220,1950,6011,Discover,US,0.4,143.19,DE,0.1,0.47,0,0,18,3,0
221,1413,5100,Mastercard,FR,0.15,131.91,IT,0.2,0.32,0,0,16,0,0
222,81,5200,Mastercard,DE,0.2,17.78,TN,0.35,0.25,0,0,12,1,0
223,402,5200,Mastercard,DE,0.2,16.67,GB,0.2,0.34,0,0,14,3,0
224,107,4539,Visa,FR,0.1,55.08,TN,0.35,0.16,0,0,6,1,0
225,1135,5100,Mastercard,FR,0.15,21.81,US,0.3,0.37,0,0,9,1,0
226,1301,3792,Amex,US,0.3,2.41,FR,0.1,0.18,0,0,15,1,0
227,1238,4539,Visa,FR,0.1,1.71,TN,0.35,0.16,0,0,21,3,0
228,1767,5100,Mastercard,FR,0.15,67.69,IT,0.2,0.05,0,0,0,1,0
229,1842,5200,Mastercard,DE,0.2,1.73,MA,0.4,0.4,0,0,15,2,0
230,506,4539,Visa,FR,0.1,32.73,IT,0.2,0.55,0,0,3,2,0
231,1145,5200,Mastercard,DE,0.2,3.64,MA,0.4,0.46,0,0,9,1,0
232,1158,4929,Visa,FR,0.1,2.51,GB,0.2,0.39,0,0,0,2,0
233,1842,4929,Visa,FR,0.1,5.88,DE,0.1,0.39,1,0,18,2,0
234,720,4539,Visa,FR,0.1,167.7,IT,0.2,0.38,0,1,11,3,0
235,1986,4539,Visa,FR,0.1,73.22,FR,0.1,0.23,0,0,0,3,0
236,1395,5100,Mastercard,FR,0.15,26.76,US,0.3,0.19,0,0,17,6,0
237,257,3792,Amex,US,0.3,9.71,FR,0.1,0.1,1,0,16,2,0
238,1721,3792,Amex,US,0.3,13.65,CA,0.1,0.53,0,0,4,2,0
239,1822,4929,Visa,FR,0.1,90.9,US,0.3,0.22,0,0,21,3,0
240,954,4929,Visa,FR,0.1,0.81,TN,0.35,0.27,0,0,17,1,0
241,1899,4929,Visa,FR,0.1,9.61,IT,0.2,0.08,0,0,2,2,0
242,1204,5200,Mastercard,DE,0.2,4.59,MA,0.4,0.13,0,0,17,0,0
243,933,3792,Amex,US,0.3,29.68,FR,0.1,0.1,0,0,22,1,0
244,1072,4539,Visa,FR,0.1,7.18,US,0.3,0.2,0,0,15,0,0
245,1623,4929,Visa,FR,0.1,3.02,DZ,0.4,0.35,0,0,11,2,0
246,897,6011,Discover,US,0.4,6.48,IT,0.2,0.32,0,0,10,2,0
247,19,5100,Mastercard,FR,0.15,28.56,DZ,0.4,0.34,0,0,16,1,0
248,1070,4539,Visa,FR,0.1,5.43,FR,0.1,0.25,0,0,6,5,0
249,451,4539,Visa,FR,0.1,9.57,IT,0.2,0.36,0,0,4,0,0
250,898,4539,Visa,FR,0.1,6.49,ES,0.15,0.23,0,0,8,0,0
251,1080,3792,Amex,US,0.3,13.88,IT,0.2,0.32,0,0,22,2,0
252,741,4929,Visa,FR,0.1,10.79,FR,0.1,0.19,1,0,15,3,0
253,1681,5100,Mastercard,FR,0.15,376.29,DE,0.1,0.42,0,0,0,0,0
254,1116,5200,Mastercard,DE,0.2,30.82,GB,0.2,0.12,0,0,17,4,0
255,82,5100,Mastercard,FR,0.15,6.19,ES,0.15,0.42,0,0,5,0,0
256,737,5100,Mastercard,FR,0.15,12.95,IT,0.2,0.3,0,0,15,3,0
257,79,6011,Discover,US,0.4,27.34,FR,0.1,0.48,1,0,1,2,0
258,1686,5100,Mastercard,FR,0.15,16.92,US,0.3,0.15,0,0,13,0,0
259,1897,5200,Mastercard,DE,0.2,0.65,MA,0.4,0.22,0,0,3,2,0
260,283,5100,Mastercard,FR,0.15,21.78,DE,0.1,0.21,0,0,14,2,0
261,1335,6011,Discover,US,0.4,57.05,IT,0.2,0.12,0,0,16,3,0
262,997,5100,Mastercard,FR,0.15,168.85,FR,0.1,0.55,1,1,23,1,0
263,160,4929,Visa,FR,0.1,4.83,CA,0.1,0.14,0,0,8,2,0
264,1340,6011,Discover,US,0.4,18.2,US,0.3,0.11,1,0,13,4,0
265,1901,4929,Visa,FR,0.1,4.4,IT,0.2,0.47,0,0,12,0,0
266,1692,4929,Visa,FR,0.1,3.08,CA,0.1,0.36,1,0,23,1,0
267,1180,4539,Visa,FR,0.1,36.62,MA,0.4,0.22,0,0,10,3,0
268,888,6011,Discover,US,0.4,9.08,CA,0.1,0.0,0,0,3,1,0
269,1738,5100,Mastercard,FR,0.15,88.09,FR,0.1,0.51,0,0,2,2,0
270,468,3792,Amex,US,0.3,8.17,CA,0.1,0.54,0,0,5,1,0
271,1945,3792,Amex,US,0.3,55.41,US,0.3,0.34,0,0,18,3,0
272,853,3792,Amex,US,0.3,1.65,FR,0.1,0.33,0,0,16,1,0
273,462,5200,Mastercard,DE,0.2,67.46,CA,0.1,0.28,1,0,15,3,0
274,854,4929,Visa,FR,0.1,60.57,ES,0.15,0.19,0,0,4,3,0
275,117,4929,Visa,FR,0.1,11.8,TN,0.35,0.43,0,0,9,2,0
276,1690,4929,Visa,FR,0.1,6.42,CA,0.1,0.19,0,0,3,2,0
277,364,6011,Discover,US,0.4,10.94,FR,0.1,0.33,0,0,20,2,0
278,1867,5200,Mastercard,DE,0.2,10.55,DE,0.1,0.28,0,0,15,2,0
279,1655,5100,Mastercard,FR,0.15,20.34,FR,0.1,0.25,0,0,10,3,0
280,1735,4539,Visa,FR,0.1,74.71,DZ,0.4,0.12,0,0,1,2,0
281,1937,6011,Discover,US,0.4,41.58,ES,0.15,0.07,0,0,16,3,0
282,466,4929,Visa,FR,0.1,1.91,GB,0.2,0.32,0,0,14,1,0
283,1799,5100,Mastercard,FR,0.15,24.56,GB,0.2,0.19,0,0,8,0,0
284,184,3792,Amex,US,0.3,64.84,IT,0.2,0.27,0,0,1,4,0
285,1984,4539,Visa,FR,0.1,8.08,IT,0.2,0.28,0,0,6,0,0
286,660,3792,Amex,US,0.3,0.9,US,0.3,0.3,0,1,12,2,0
287,1190,5100,Mastercard,FR,0.15,26.38,DZ,0.4,0.23,0,0,5,3,0
288,75,5100,Mastercard,FR,0.15,34.49,MA,0.4,0.35,0,0,20,0,0
289,1772,3792,Amex,US,0.3,323.9,CA,0.1,0.24,0,0,1,3,0
290,826,6011,Discover,US,0.4,0.23,DE,0.1,0.21,0,0,7,4,0
291,1296,4539,Visa,FR,0.1,58.86,DE,0.1,0.36,0,0,21,2,0
292,1715,3792,Amex,US,0.3,56.37,US,0.3,0.25,0,0,7,6,0
293,503,3792,Amex,US,0.3,0.11,ES,0.15,0.28,0,0,19,1,0
294,795,6011,Discover,US,0.4,115.94,MA,0.4,0.39,0,0,5,1,0
295,1587,3792,Amex,US,0.3,55.7,CA,0.1,0.31,0,0,8,4,0
296,587,4539,Visa,FR,0.1,266.48,IT,0.2,0.39,0,0,18,0,0
297,656,5200,Mastercard,DE,0.2,6.15,CA,0.1,0.01,0,0,10,1,0
298,1367,4539,Visa,FR,0.1,2.07,TN,0.35,0.65,0,0,21,3,0
299,700,6011,Discover,US,0.4,73.9,TN,0.35,0.36,0,0,16,2,0
300,635,3792,Amex,US,0.3,180.46,DE,0.1,0.34,1,0,3,2,0
301,844,4929,Visa,FR,0.1,8.13,FR,0.1,0.23,0,0,20,3,0
302,1275,4929,Visa,FR,0.1,150.86,DE,0.1,0.03,0,0,1,1,0
303,1832,5100,Mastercard,FR,0.15,108.74,CA,0.1,0.36,0,0,6,1,0
304,835,5200,Mastercard,DE,0.2,1.71,GB,0.2,0.42,0,0,19,1,0
305,1154,6011,Discover,US,0.4,166.01,IT,0.2,0.0,0,0,9,1,0
306,764,5100,Mastercard,FR,0.15,14.68,FR,0.1,0.38,0,0,3,2,0
307,358,5100,Mastercard,FR,0.15,115.93,DE,0.1,0.48,0,0,20,3,0
308,1968,4929,Visa,FR,0.1,25.26,FR,0.1,0.48,0,0,5,1,0
309,692,4539,Visa,FR,0.1,0.95,FR,0.1,0.33,0,0,8,4,0
310,1432,5100,Mastercard,FR,0.15,6.33,FR,0.1,0.24,0,0,12,4,0
311,1885,5100,Mastercard,FR,0.15,155.9,DE,0.1,0.39,0,0,22,3,0
312,1519,5200,Mastercard,DE,0.2,5.41,DE,0.1,0.31,1,0,12,2,0
313,622,4929,Visa,FR,0.1,5.45,DZ,0.4,0.3,0,0,3,0,0
314,482,4539,Visa,FR,0.1,37.62,CA,0.1,0.17,0,0,8,1,0
315,980,5200,Mastercard,DE,0.2,19.39,GB,0.2,0.01,0,0,19,3,0
